Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Nissan,Serena,1994,Yes,$350,"303,030",0.0," Front Damage, Selling Registered","Automatic,",8.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006880035/1994-nissan-serena-fx-multi-purpose-vehicle?referringPage=SearchResults
KAWASAKI MULE,Pro-mx KAF700,2019,No,"$1,350","14,170",0.0," Engine Damage, Has Key, Selling De-Registered",,,,https://manheim.co.nz/damaged-vehicles/000000000006890069/2019-kawasaki-mule-pro-mx-kaf700-quad-bike?referringPage=SearchResults
Nissan,X-trail,2010,No,$450,"174,029",1.0," Front Damage, Impact Heavy - Front, Airbags Deployed, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006920218/2010-nissan-x-trail-station-wagon?referringPage=SearchResults
Toyota,Carib,2000,No,$625,"191,285",0.0," Front Damage, Glass Broken, Left Side Damage, Impact Medium - Right Side, Impact Light - Left Side, Stolen & Recovered, Selling De-Registered","6spd Manual,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006920219/2000-toyota-carib-bz-touring-station-wagon?referringPage=SearchResults
Nissan,Urvan,2009,No,$0,"322,248",1.0," Glass Broken, Left Side Damage, Impact Medium - Left Side, Selling De-Registered","Automatic,",11.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006910215/2009-nissan-urvan-3-0-diesel-manual-window-van?referringPage=SearchResults
Mitsubishi,Colt,2010,No,$325,"113,121",1.0," Left Rear Damage, Impact Medium - Left Side, Selling De-Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006920220/2010-mitsubishi-colt-hatch?referringPage=SearchResults
Hyundai,Sonata,2007,No,$500,"166,859",1.0," Front Damage, Impact Heavy - Front, Selling De-Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006920221/2007-hyundai-sonata-2-4p-a4-4d-sedan-sedan?referringPage=SearchResults
Nissan,Presage,2005,No,$100,,0.0," Engine Damage, Fire Damage, Fire Damage Engine, Fire - Entire Vehicle, Selling De-Registered","Automatic,",8.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006920222/2005-nissan-presage-station-wagon?referringPage=SearchResults
Honda,fit,2006,No,$400,"144,214",1.0," Engine Damage, Front Damage, Impact Heavy - Front, Impact Heavy - Left Side, Impact Heavy - Right Side, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006920223/2006-honda-fit-hatch?referringPage=SearchResults
Hyundai,Santa FE,2019,No,,,1.0," Rolled, Selling De-Registered","Automatic,",7.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006920226/2019-hyundai-santa-fe-tm-limited-2-2d-4wd-station-wagon?referringPage=SearchResults
