Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Kawasaki,KLR 650,2011,No,$0,,0.0," Front Damage, Structural Damage, Selling De-Registered","Automatic,",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007010092/2011-kawasaki-klr-650-motorcycle?referringPage=SearchResults
Kawasaki,ex,2012,No,$0,,0.0," Frame Damaged, Stolen & Recovered, Selling De-Registered","Automatic,",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007010146/2012-kawasaki-ex-300a-motorbike?referringPage=SearchResults
Suzuki,UZ50,2024,Yes,$0,"7,193",," Engine Damage, Ignition Damage, Right Front Damage, Selling Registered","Automatic,",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007030176/2024-suzuki-uz50-scooter?referringPage=SearchResults
Yamaha,Bruin,2011,No,$0,"33,339",0.0," Front Damage, Right Rear Damage, Salt Water Damage, Water Damage, Selling De-Registered","2spd Automatic, Drive Type, Rear Wheel Driv",,,https://manheim.co.nz/damaged-vehicles/000000000007040209/2011-yamaha-bruin-quad-bike?referringPage=SearchResults
Harley-Davidson,CVO,2018,No,$0,,1.0," Structural Damage, Selling De-Registered","Automatic,",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007040254/2018-harley-davidson-cvo-19-ultra-limited-motorcycle?referringPage=SearchResults
Toyota,Vitz,1999,No,$0,,0.0," Right Rear Damage, Structural Damage, Selling De-Registered",,5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007020279/1999-toyota-vitz-station-wagon?referringPage=SearchResults
Ford,Mondeo,2007,No,$0,"199,740",1.0," Left Side Damage, Structural Damage, Selling De-Registered","5spd Manual,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007040601/2007-ford-mondeo-wag-2-0-man-station-wagon?referringPage=SearchResults
Toyota,Alphard,2006,No,$0,"187,993",1.0," Rear Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",8.0,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007040603/2006-toyota-alphard-station-wagon?referringPage=SearchResults
Mitsubishi,L300,2002,No,$0,"336,155",0.0," Interior Damage, Stolen & Recovered, Selling De-Registered","5spd Manual,",3.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007040618/2002-mitsubishi-l300-2-4p-lwb-5dr-m-van?referringPage=SearchResults
Toyota,Vitz,2006,No,$0,"121,230",0.0," Engine Damage, Interior Damage, Structural Damage, Water Damage, Selling De-Registered","5spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007040635/2006-toyota-vitz-hatch?referringPage=SearchResults
