Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Nissan,Dualis,2007,No,$0,"133,847",0.0," Engine Damage, Front Damage, Glass Broken, Ignition Damage, Malicious/Vandalised, Right Front Damage, Right Rear Damage, Right Side Damage, Stolen & Recovered, Water Damage, Selling De-Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006700002/2007-nissan-dualis-hatch?referringPage=SearchResults
Nissan,Teana,2005,Yes,$700,"103,602",0.0," Glass Broken, Ignition Damage, Vandalised - Entire Vehicle, Impact Medium - Left Side, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006710018/2005-nissan-teana-sedan?referringPage=SearchResults
Mazda,Demio,2005,Yes,$0,"108,956",0.0," Glass Broken, Left Side Damage, Vandalised - Interior, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006720022/2005-mazda-demio-station-wagon?referringPage=SearchResults
Toyota,Camry,2003,No,$0,"107,733",1.0," Left Side Damage, Impact Heavy - Left Side, Selling De-Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006720027/2003-toyota-camry-2-4p-altise-sedan-4-sedan?referringPage=SearchResults
Mazda,Bounty,2005,No,$700,"245,538",1.0," Vandalised - Interior, Impact Medium - Front, Impact Medium - Rear, Impact Medium - Roof, Impact Medium - Left Side, Impact Medium - Right Side, Stolen & Recovered, Selling De-Registered","5spd Manual,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006720028/2005-mazda-bounty-d-cab-w-s-2wd-dx-ab-dual-cab-utility?referringPage=SearchResults
John Deere,5090,2015,No,,,0.0," Interior Damage, Water Damage, Selling De-Registered",Automati,,,https://manheim.co.nz/damaged-vehicles/000000000006700038/2015-john-deere-5090-tractor?referringPage=SearchResults
Mitsubishi,Colt,2003,Yes,$0,"117,809",1.0," Right Front Damage, Selling Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006720030/2003-mitsubishi-colt-1-5p-sport-hatch-a-hatch?referringPage=SearchResults
Toyota,Markx,2005,No,$700,"8,334",0.0," Glass Broken, Interior Damage, Ignition Damage, Left Side Damage, Right Front Damage, Right Side Damage, Vandalised - Interior, Impact Medium - Left Side, Stolen & Recovered, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006630096/2005-toyota-markx-sedan?referringPage=SearchResults
Nissan,Tiida,2007,Yes,$800,"66,994",0.0," Front Damage, Glass Broken, Ignition Damage, Left Rear Damage, Rear Damage, Impact Light - Rear, Impact Light - Left Side, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006710112/2007-nissan-tiida-latio-sedan?referringPage=SearchResults
Mitsubishi,Fuso,1995,No,,,0.0," Interior Damage, Water Damage, Selling De-Registered","Manual,",3.0,,https://manheim.co.nz/damaged-vehicles/000000000006680127/1995-mitsubishi-fuso-box-body?referringPage=SearchResults
