Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Toyota,Voxy,2005,No,$425,"239,466",1.0," Front Damage, Impact Heavy - Front, Airbags Deployed, Impact Light - Rear, Selling De-Registered","CVT,",8.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006710013/2005-toyota-voxy-station-wagon?referringPage=SearchResults
Nissan,Teana,2005,Yes,$0,"103,602",0.0," Glass Broken, Ignition Damage, Vandalised - Entire Vehicle, Impact Medium - Left Side, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006710018/2005-nissan-teana-sedan?referringPage=SearchResults
Mazda,Bounty,2005,No,$0,"245,538",1.0," Vandalised - Interior, Impact Medium - Front, Impact Medium - Rear, Impact Medium - Roof, Impact Medium - Left Side, Impact Medium - Right Side, Stolen & Recovered, Selling De-Registered","5spd Manual,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006720028/2005-mazda-bounty-d-cab-w-s-2wd-dx-ab-dual-cab-utility?referringPage=SearchResults
Ford,Transit,2012,No,$625,"210,242",1.0," Water Damage, Selling De-Registered","Automatic,",3.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006680022/2012-ford-transit-transit-350-jumbo-d-van?referringPage=SearchResults
Honda,Accord,2003,No,$500,"317,811",0.0," Left Side Damage, Impact Medium - Left Side, Selling De-Registered","5spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006720044/2003-honda-accord-euro-2-4-4d-sed-5a-sedan?referringPage=SearchResults
Mazda,Atenza,2007,No,$300,"116,242",0.0," Front Damage, Impact Heavy - Right Side, Impact Medium - Front, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006710047/2007-mazda-atenza-sedan?referringPage=SearchResults
Toyota,Markx,2005,No,$0,"8,334",0.0," Glass Broken, Interior Damage, Ignition Damage, Left Side Damage, Right Front Damage, Right Side Damage, Vandalised - Interior, Impact Medium - Left Side, Stolen & Recovered, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006630096/2005-toyota-markx-sedan?referringPage=SearchResults
Mitsubishi,Lancer,2012,No,$525,"138,712",1.0," Front Damage, Impact Heavy - Front, Selling De-Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006710116/2012-mitsubishi-lancer-2-0p-sei-sedan-auto-sedan?referringPage=SearchResults
Nissan,Tiida,2005,No,$500,"248,345",0.0," Ignition Damage, Vandalised - Interior, Impact Medium - Roof, Impact Medium - Left Side, Impact Light - Rear, Stolen & Recovered, Selling De-Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006710118/2005-nissan-tiida-hatch?referringPage=SearchResults
Mazda,MAZDA2,2008,No,$300,"226,638",0.0," Front Damage, Rear Damage, Impact Heavy - Front, Impact Heavy - Rear, Airbags Deployed, Selling De-Registered","5spd Manual,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006710128/2008-mazda-mazda2-sport-5-dr-1-5-m-5-hatch?referringPage=SearchResults
Subaru,Legacy,2004,No,$600,"223,801",1.0," Front Damage, Impact Light - Front, Underbody Damage, Selling De-Registered","5spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006720127/2004-subaru-legacy-outback-station-wagon?referringPage=SearchResults
Land Rover,Range Rover Sport,2013,No,,"97,045",0.0," Left Front Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006700121/2013-land-rover-range-rover-sport-station-wagon?referringPage=SearchResults
