Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
BMW,335i,2007,No,$0,"133,115",," Structural Damage, Suspension Damage, Selling De-Registered",N/A,4,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410032/2007-bmw-335i-sedan?referringPage=SearchResults
Honda,Civic,2008,No,$0,"183,924",," Front Damage, Left Side Damage, Airbags Deployed, Structural Damage, Selling De-Registered",N/A,5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007410035/2008-honda-civic-hybrid-sedan?referringPage=SearchResults
Subaru,Forester,2008,No,$0,"256,123",," Has Key, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007390040/2008-subaru-forester-station-wagon?referringPage=SearchResults
Nissan,Caravan,2007,No,$0,"320,204",," Left Side Damage, Structural Damage, Selling De-Registered",N/A,6,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007410097/2007-nissan-caravan-dx-panel-van?referringPage=SearchResults
Mercedes-Benz,ML350,2007,No,$0,N/A,," Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410112/2007-mercedes-benz-ml350-station-wagon?referringPage=SearchResults
Mitsubishi,Triton,2018,No,N/A,"276,677",," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007410134/2018-mitsubishi-triton-d-cab-glx-2-4d-4wd-dual-cab-utility?referringPage=SearchResults
Nissan,Tiida,2007,No,$0,"236,591",," Front Damage, Left Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","6spd Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410141/2007-nissan-tiida-1-8-petrol-hatch-st-hatch?referringPage=SearchResults
Nissan,Note,2016,No,$0,N/A,," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410145/2016-nissan-note-hatch?referringPage=SearchResults
Toyota,Corolla,2009,No,$0,N/A,," Front Damage, Roof Damage, Rolled, Right Side Damage, Vandalised - Interior, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410148/2009-toyota-corolla-gx-1-5p-wagon5-cvt-station-wagon?referringPage=SearchResults
Nissan,Tiida,2006,No,$0,N/A,," Left Front Damage, Left Side Damage, Roof Damage, Right Front Damage, Right Rear Damage, Right Side Damage, Vandalised - Interior, Structural Damage, Stolen & Recovered, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410153/2006-nissan-tiida-hatch?referringPage=SearchResults
Triumph,Bonneville America,2014,Yes,$0,"34,470",, Selling Registered,N/A,N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007400157/2014-triumph-bonneville-america-lt-a3-mkx-motorcycle?referringPage=SearchResults
Honda,fit,2008,No,$0,"198,507",," Left Side Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410169/2008-honda-fit-hatch?referringPage=SearchResults
Mercedes-Benz,A250,2013,No,$0,N/A,," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410174/2013-mercedes-benz-a250-hatch?referringPage=SearchResults
Toyota,Markx,2004,No,$0,N/A,," Rear Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410180/2004-toyota-markx-sedan?referringPage=SearchResults
Toyota,Corolla,2006,Yes,$0,"109,094",," Front Damage, Rear Damage, Right Front Damage, Right Rear Damage, Selling Registered","5spd Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410181/2006-toyota-corolla-1-8p-gl-hatch5-5m-hatch?referringPage=SearchResults
Porsche,Cayenne Turbo,2004,Yes,$0,N/A,," Left Front Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410184/2004-porsche-cayenne-turbo-4-dr-6sp-tip-station-wagon?referringPage=SearchResults
Mazda,CX-5,2014,No,$0,N/A,," Front Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410187/2014-mazda-cx-5-station-wagon?referringPage=SearchResults
Toyota,Auris,2008,No,$0,N/A,," Right Rear Damage, Structural Damage, Selling De-Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410189/2008-toyota-auris-hatch?referringPage=SearchResults
Nissan,Wingroad,2007,No,$0,"185,050",," Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410190/2007-nissan-wingroad-station-wagon?referringPage=SearchResults
Volkswagen,Golf,2013,No,$0,N/A,," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410195/2013-volkswagen-golf-tsi-comfortline-7ds-hatch?referringPage=SearchResults
Suzuki,Swift,2010,No,$0,N/A,," Right Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410205/2010-suzuki-swift-hatch?referringPage=SearchResults
Subaru,Impreza,2010,No,$0,N/A,," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410213/2010-subaru-impreza-hatch?referringPage=SearchResults
Nissan,Tiida,2006,No,$0,N/A,," Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410222/2006-nissan-tiida-hatch?referringPage=SearchResults
Toyota,Aqua,2014,No,$0,N/A,," Fire Damage, Interior Damage, Stolen & Recovered, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007410223/2014-toyota-aqua-hatch?referringPage=SearchResults
Ssangyong,Korando,2015,No,$0,"125,493",," Right Side Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410224/2015-ssangyong-korando-petrol-auto-limited-station-wagon?referringPage=SearchResults
Toyota,Aqua,2016,No,$0,N/A,," Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007410228/2016-toyota-aqua-hybrid-hatch?referringPage=SearchResults
BMW,750i,2005,No,$0,N/A,," Engine Damage, Fire Damage, Interior Damage, Structural Damage, Stolen & Recovered, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410229/2005-bmw-750i-sedan-6a-4d-4-8l-sedan?referringPage=SearchResults
Toyota,Yaris,2013,No,$0,"115,743",," Left Side Damage, Vandalised - Interior, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007400225/2013-toyota-yaris-yr-1-3p-hatch5-4a-hatch?referringPage=SearchResults
Suzuki,Swift,2010,No,$0,"104,347",," Left Rear Damage, Structural Damage, Suspension Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410261/2010-suzuki-swift-glxhas-1-5-5dr-hatch?referringPage=SearchResults
Toyota,Windom,2001,No,$0,"151,818",," Front Damage, Left Front Damage, Right Front Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410262/2001-toyota-windom-sedan?referringPage=SearchResults
Toyota,Vitz,2011,No,$0,"134,209",," Airbags Deployed, Chassis Damage, Front Damage, Structural Damage, Suspension Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410263/2011-toyota-vitz-hatch?referringPage=SearchResults
Toyota,Corolla,2003,No,$0,"228,218",," Left Side Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410265/2003-toyota-corolla-1-8p-gl-hatch5-5m-hatch?referringPage=SearchResults
Volkswagen,Polo,2013,No,$0,"157,982",," Left Front Damage, Left Rear Damage, Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410281/2013-volkswagen-polo-gti-1-4-hatch?referringPage=SearchResults
Suzuki,Swift,2009,No,$0,N/A,," Right Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410286/2009-suzuki-swift-glxa-1-5-5dr-hatch?referringPage=SearchResults
Volkswagen,Golf,2013,No,$0,N/A,," Front Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410290/2013-volkswagen-golf-tsi-hatch?referringPage=SearchResults
Nissan,Leaf,2015,No,$0,N/A,," Rear Damage, Structural Damage, Selling De-Registered","Automatic, Drive Type, Front Wheel Drive, Fuel Type, Electri",5,Electric,https://manheim.co.nz/damaged-vehicles/000000000007410295/2015-nissan-leaf-hatch?referringPage=SearchResults
Volkswagen,Golf,2007,No,$0,"95,756",," Front Damage, Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410300/2007-volkswagen-golf-fsi-hatch?referringPage=SearchResults
Ford,Courier,2001,No,$0,"290,835",," Airbags Deployed, Chassis Damage, Front Damage, Structural Damage, Selling De-Registered",N/A,5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007410303/2001-ford-courier-xlx-crew-cab-utility?referringPage=SearchResults
Volvo,S60,2014,No,$0,"174,049",," Front Damage, Structural Damage, Selling De-Registered",N/A,5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007410304/2014-volvo-s60-d4-luxury-2-0d-6-sedan?referringPage=SearchResults
Mitsubishi,Lancer,2007,No,$0,N/A,," Airbags Deployed, Front Damage, Left Front Damage, Left Side Damage, Roof Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410305/2007-mitsubishi-lancer-2-4p-ls-sedan-a-sedan?referringPage=SearchResults
Mazda,Atenza,2006,No,$0,N/A,," Front Damage, Interior Damage, Vandalised - Interior, Stolen & Recovered, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410307/2006-mazda-atenza-sedan?referringPage=SearchResults
Honda,CRV,2023,No,N/A,N/A,," Right Side Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410317/2023-honda-crv-awd-sport-premium-1-station-wagon?referringPage=SearchResults
Mitsubishi,Colt Plus,2008,No,$0,"226,549",," Ignition Damage, Stolen & Recovered, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410326/2008-mitsubishi-colt-plus-1-5p-ls-5dr-hatch?referringPage=SearchResults
CARAVAN,Bessacarr Cameo 645,2007,No,"$3,250",N/A,0," Left Front Damage, Left Rear Damage, Left Side Damage, Structural Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007410342/2007-caravan-bessacarr-cameo-645-caravan?referringPage=SearchResults
Honda,fit,2014,No,$0,N/A,," Front Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007410344/2014-honda-fit-hatch?referringPage=SearchResults
Toyota,Corolla,2006,No,$0,N/A,," Front Damage, Left Rear Damage, Underbody Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410346/2006-toyota-corolla-1-8p-gl-hatch5-4a-hatch?referringPage=SearchResults
Toyota,Hiace,2014,No,N/A,N/A,," Left Front Damage, Left Rear Damage, Left Side Damage, Roof Damage, Rolled, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",11,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007390410/2014-toyota-hiace-mini-bus?referringPage=SearchResults
Honda,Accord,2013,No,$0,"84,627",," Right Front Damage, Right Rear Damage, Right Side Damage, Structural Damage, Suspension Damage, Selling De-Registered","5spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410446/2013-honda-accord-nt-sedan?referringPage=SearchResults
Suzuki,Swift,2011,No,$0,"177,015",," Front Damage, Left Front Damage, Right Front Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410448/2011-suzuki-swift-hatch?referringPage=SearchResults
Mazda,CX-5,2013,No,$0,"174,726",," Left Side Damage, Structural Damage, Selling De-Registered",N/A,5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007410466/2013-mazda-cx-5-station-wagon?referringPage=SearchResults
Volkswagen,Polo,2005,No,$0,"214,343",," Left Side Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410472/2005-volkswagen-polo-1-4-auto-hatch?referringPage=SearchResults
Honda,ZRV,2023,No,N/A,"18,379",," Left Rear Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007400473/2023-honda-zrv-zrv-turbo-1-5pt-station-wagon?referringPage=SearchResults
Nissan,Pulsar,2013,No,$0,N/A,," Fire Damage, Fire - Entire Vehicle, Structural Damage, Water Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007400498/2013-nissan-pulsar-st-hatch?referringPage=SearchResults
Mazda,Demio,2010,No,$0,N/A,," Left Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410493/2010-mazda-demio-hatch?referringPage=SearchResults
Toyota,Vitz,2004,Yes,$0,"241,320",," Left Front Damage, Rear Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410502/2004-toyota-vitz-hatch?referringPage=SearchResults
Volkswagen,Golf,2010,No,$0,"135,453",," Left Front Damage, Left Side Damage, Underbody Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410504/2010-volkswagen-golf-hatch?referringPage=SearchResults
Toyota,Passo,2006,No,$0,"240,876",," Left Side Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410506/2006-toyota-passo-hatch?referringPage=SearchResults
Honda,Jazz,2013,No,$0,"102,855",," Interior Damage, Water Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410507/2013-honda-jazz-1-5-s-auto-hatch?referringPage=SearchResults
Toyota,Rumion,2008,No,$0,"147,589",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410509/2008-toyota-rumion-hatch?referringPage=SearchResults
Kia,Cerato,2012,No,$0,"191,605",," Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410515/2012-kia-cerato-2-0-petrol-auto-ex-hatch?referringPage=SearchResults
Toyota,Starlet,1998,No,$0,"252,877",," Left Side Damage, Right Front Damage, Right Rear Damage, Right Side Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410520/1998-toyota-starlet-garat-limited-hatch?referringPage=SearchResults
Mazda,Demio,2006,No,$0,"81,768",," Rear Damage, Structural Damage, Accident Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410534/2006-mazda-demio-hatch?referringPage=SearchResults
Mazda,Axela,2009,No,$0,"67,523",," Right Rear Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410535/2009-mazda-axela-hatch?referringPage=SearchResults
Volkswagen,Golf,2011,No,$0,"155,762",," Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410538/2011-volkswagen-golf-hatch?referringPage=SearchResults
