Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
BMW,325i,1994,No,$0,,," Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270019/1994-bmw-325i-sedan?referringPage=SearchResults
Nissan,Navara,2008,Yes,$0,,," Engine Damage, Selling Registered","Manual,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007270064/2008-nissan-navara-4wd-d-c-2-5d-dual-cab-utility?referringPage=SearchResults
Jaguar,X-type,2004,No,$0,"219,210",," Left Side Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270065/2004-jaguar-x-type-2-5-v6-se-4dr-5spa-sedan?referringPage=SearchResults
Ford,Falcon,2012,Yes,$0,"211,820",, Selling Registered,"Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270177/2012-ford-falcon-fg2-xr6-sedan-a-sedan?referringPage=SearchResults
Mazda,Premacy,2011,No,$0,,," Ignition Damage, Left Rear Damage, Left Side Damage, Structural Damage, Stolen & Recovered, Selling De-Registered","Automatic,",7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270214/2011-mazda-premacy-i-stop-station-wagon?referringPage=SearchResults
Volkswagen,Polo,2009,Yes,$0,"121,914",," Front Damage, Left Front Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270318/2009-volkswagen-polo-hatch?referringPage=SearchResults
Mazda,Axela,2004,No,$0,"228,061",," Left Rear Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270333/2004-mazda-axela-hatch?referringPage=SearchResults
Subaru,Impreza,2015,No,$0,,," Airbags Deployed, Glass Broken, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240434/2015-subaru-impreza-station-wagon?referringPage=SearchResults
Mazda,MAZDA3,2020,No,,"93,358",," Structural Damage, Selling De-Registered","Automatic,",5.0,,https://manheim.co.nz/damaged-vehicles/000000000007270514/2020-mazda-mazda3-takami-2-0ps-6at-hatch?referringPage=SearchResults
Toyota,Highlander,2011,No,,,," Front Damage, Structural Damage, Selling De-Registered","Automatic,",7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270536/2011-toyota-highlander-3-5p-4wd-wagon5-5a-station-wagon?referringPage=SearchResults
Honda,CRV,2007,No,$0,"86,203",," Left Rear Damage, Right Side Damage, Structural Damage, Suspension Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007250541/2007-honda-crv-station-wagon?referringPage=SearchResults
Ford,Fiesta,2004,No,$0,"136,301",," Front Damage, Right Front Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007260652/2004-ford-fiesta-5dr-1-6-a-hatch?referringPage=SearchResults
BMW,R1250,2020,No,$0,,," Front Damage, Left Side Damage, Frame Damaged, Right Front Damage, Right Side Damage, Structural Damage, Selling De-Registered","Manual,",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007250806/2020-bmw-r1250-rt-motorcycle?referringPage=SearchResults
FEED OUT,Trailer,1984,No,$1,,0.0," Structural Damage, Selling De-Registered",,,,https://manheim.co.nz/damaged-vehicles/000000000007260811/1984-feed-out-trailer-trailer?referringPage=SearchResults
Toyota,Aqua,2016,No,$0,,," Front Damage, Structural Damage, Selling De-Registered",,5.0,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007270814/2016-toyota-aqua-hatch?referringPage=SearchResults
Nissan,Caravan,2009,No,$0,"264,900",," Left Rear Damage, Structural Damage, Selling De-Registered","Automatic,",3.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270830/2009-nissan-caravan-van?referringPage=SearchResults
Subaru,Legacy,2008,No,$0,,," Right Rear Damage, Right Side Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270887/2008-subaru-legacy-sedan?referringPage=SearchResults
Mazda,Demio,2008,No,$0,,," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270899/2008-mazda-demio-hatch?referringPage=SearchResults
Holden,Captiva,2015,Yes,$0,,, Selling Registered,"6spd Automatic,",7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270908/2015-holden-captiva-7-ls-equipe-2-4p-6a-station-wagon?referringPage=SearchResults
