Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Honda,fit,2005,Yes,"$1,700","122,528",," Front Damage, Selling Registered",,5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007250186/2005-honda-fit-hatch?referringPage=SearchResults
BMW,118i,2005,Yes,$800,"203,406",," Left Side Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240242/2005-bmw-118i-118i-5-door-a-e87-sedan?referringPage=SearchResults
Toyota,Yaris,2006,No,$650,"191,869",," Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007250327/2006-toyota-yaris-1-3p-hatch3-5m-hatch?referringPage=SearchResults
Toyota,Aqua,2014,No,$800,"228,608",," Left Rear Damage, Right Rear Damage, Structural Damage, Selling De-Registered",,5.0,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007250372/2014-toyota-aqua-hybrid-hatch?referringPage=SearchResults
Mazda,CX-5,2012,No,$650,,," Water Damage, Selling De-Registered","Automatic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007250399/2012-mazda-cx-5-station-wagon?referringPage=SearchResults
BMW,320i,2007,No,$500,"164,907",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007250617/2007-bmw-320i-sedan?referringPage=SearchResults
Toyota,Cynos,1996,No,$500,"190,751",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",4.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240673/1996-toyota-cynos-sedan?referringPage=SearchResults
Mazda,Demio,2006,Yes,$350,"257,009",," Glass Broken, Ignition Damage, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007250682/2006-mazda-demio-hatch?referringPage=SearchResults
Hyundai,Santa FE,2021,Yes,$0,,," Not Driveable, No Keys, Selling Registered","Automatic,",7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007250683/2021-hyundai-santa-fe-tm-2-5p-4wd-6at-station-wagon?referringPage=SearchResults
CARAVAN,Springdale,2005,No,"$4,000",,0.0," Interior Damage, Left Rear Damage, Left Side Damage, Water Damage, Selling De-Registered",,,,https://manheim.co.nz/damaged-vehicles/000000000007250718/2005-caravan-springdale-caravan?referringPage=SearchResults
Nissan,Murano,2008,No,$500,"226,153",," Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007251033/2008-nissan-murano-3-5-v6-4wd-ti-station-wagon?referringPage=SearchResults
Toyota,RAV4,2005,No,$800,"73,866",," Left Front Damage, Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007251037/2005-toyota-rav4-2-4p-wagon5-4a-station-wagon?referringPage=SearchResults
Mazda,Atenza,2003,Yes,$750,"233,265",," Right Side Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007251267/2003-mazda-atenza-sedan?referringPage=SearchResults
Mitsubishi,Triton,2017,Yes,$0,,," Ignition Damage, Stolen & Recovered, Selling Registered","Automatic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007251283/2017-mitsubishi-triton-d-cab-glxr-2-4d-6mt-utility?referringPage=SearchResults
BAILEY,Ranger,2005,No,"$2,550",,0.0," Interior Damage, Structural Damage, Water Damage, Selling De-Registered",,,,https://manheim.co.nz/damaged-vehicles/000000000007251300/2005-bailey-ranger-caravan?referringPage=SearchResults
BMW,320i,2009,No,$500,"131,308",," Engine Failure, Has Key, Not Driveable, Selling De-Registered","6spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007241357/2009-bmw-320i-sedan?referringPage=SearchResults
Toyota,Granvia,1996,Yes,,"187,277",, Selling Registered,"Automatic,",7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007231368/1996-toyota-granvia-2-7-g-utility-station-wagon?referringPage=SearchResults
Nissan,Tiida,2009,No,$0,"170,093",," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007251369/2009-nissan-tiida-latio-sedan?referringPage=SearchResults
Ford,Mondeo,2013,No,$650,,," Front Damage, Structural Damage, Selling De-Registered",,5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007241379/2013-ford-mondeo-zectec-ecob-2-0p-6s-hatch?referringPage=SearchResults
Suzuki,Swift,2008,No,$0,"108,078",," Left Front Damage, Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007251381/2008-suzuki-swift-hatch?referringPage=SearchResults
Ford,Mondeo,2011,No,$500,,," Front Damage, Structural Damage, Selling De-Registered",,5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007241433/2011-ford-mondeo-2-0td-a-hatch?referringPage=SearchResults
Toyota,Spade,2014,No,"$1,400",,," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007251475/2014-toyota-spade-hatch?referringPage=SearchResults
