Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Subaru,Impreza,2007,No,$500,,," Front Damage, Ignition Damage, Vandalised - Interior, Stolen & Recovered, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310012/2007-subaru-impreza-station-wagon?referringPage=SearchResults
Toyota,Hilux,2010,No,,"351,419",," Right Side Damage, Structural Damage, Selling De-Registered","5spd Manual,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007310082/2010-toyota-hilux-3-0td-4wd-dc-5m-utility?referringPage=SearchResults
Tesla,Model Y,2023,No,,"43,989",," Front Damage, Left Front Damage, Right Front Damage, Dismantled - Interior, Structural Damage, Selling De-Registered","Automatic,",5.0,Electric,https://manheim.co.nz/damaged-vehicles/000000000007310084/2023-tesla-model-y-performance-79kwh-e-station-wagon?referringPage=SearchResults
Toyota,Corolla,2006,No,$600,"196,394",," Left Side Damage, Structural Damage, Selling De-Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310089/2006-toyota-corolla-1-8p-gl-hatch5-4a-hatch?referringPage=SearchResults
Nissan,Pulsar,1991,Yes,$300,"202,259",," Ignition Damage, Left Side Damage, Right Front Damage, Stolen & Recovered, Selling Registered","Manual,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300096/1991-nissan-pulsar-vi-hatch?referringPage=SearchResults
Honda,Civic,2000,No,$500,,," Front Damage, Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310104/2000-honda-civic-hatch?referringPage=SearchResults
Nissan,Serena,2012,Yes,"$2,300","127,591",," Hail Dmg, Roof Damage, Selling Registered",,8.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310105/2012-nissan-serena-multi-purpose-vehicle?referringPage=SearchResults
Volvo,S40,2011,No,$500,"129,709",," Front Damage, Left Front Damage, Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310106/2011-volvo-s40-sedan?referringPage=SearchResults
Mazda,Demio,2009,Yes,$400,"210,735",," Glass Broken, Ignition Damage, Left Side Damage, Right Side Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310110/2009-mazda-demio-hatch?referringPage=SearchResults
Toyota,Corolla,2013,No,"$1,600",,," Left Front Damage, Left Side Damage, Vandalised - Interior, Structural Damage, Selling De-Registered","Automatic,",5.0,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007300140/2013-toyota-corolla-fielder-station-wagon?referringPage=SearchResults
Volkswagen,Golf,2005,No,$500,"116,105",," Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300155/2005-volkswagen-golf-hatch?referringPage=SearchResults
Hyundai,145,2011,Yes,$700,"134,416",," Left Side Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310161/2011-hyundai-145-sedan?referringPage=SearchResults
Holden,Commodore,2008,No,$400,"233,449",," Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310162/2008-holden-commodore-station-wagon?referringPage=SearchResults
Holden,Commodore,2010,Yes,"$1,300",,," Ignition Damage, Left Front Damage, Left Side Damage, Right Side Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310163/2010-holden-commodore-sv6-sedan-at-sedan?referringPage=SearchResults
Nissan,Tiida,2005,No,$600,,," Front Damage, Glass Broken, Ignition Damage, Left Front Damage, Left Rear Damage, Rear Damage, Right Front Damage, Vandalised - Interior, Structural Damage, Stolen & Recovered, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310170/2005-nissan-tiida-latio-sedan?referringPage=SearchResults
Toyota,Prado,1998,No,"$1,600","267,360",," Roof Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",8.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310173/1998-toyota-prado-station-wagon?referringPage=SearchResults
Mazda,Demio,2011,No,$400,"104,667",," Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310177/2011-mazda-demio-hatch?referringPage=SearchResults
Triumph,Scrambler 1200,2020,Yes,"$1,700",,," Front Damage, Left Side Damage, Selling Registered","Manual,",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310179/2020-triumph-scrambler-1200-motorcycle?referringPage=SearchResults
Toyota,Corolla,2014,No,"$1,600","213,126",," Left Rear Damage, Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310180/2014-toyota-corolla-hatch?referringPage=SearchResults
Toyota,Caldina,2006,Yes,$600,"200,572",," Vandalised - Interior, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290189/2006-toyota-caldina-station-wagon?referringPage=SearchResults
Jeep,Cherokee,2007,Yes,"$1,300","275,712",, Selling Registered,"Automatic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007300205/2007-jeep-cherokee-limited-diesel-station-wagon?referringPage=SearchResults
Toyota,RAV4,2003,No,$600,"191,344",," Front Damage, Right Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310202/2003-toyota-rav4-2-0p-4wd-wagon5-4a-station-wagon?referringPage=SearchResults
Hyundai,Getz,2003,No,$200,,," Front Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310206/2003-hyundai-getz-hatch?referringPage=SearchResults
Toyota,Corolla,2003,No,$600,"278,806",," Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310208/2003-toyota-corolla-1-8p-gl-hatch5-5m-hatch?referringPage=SearchResults
Nissan,Skyline,2007,Yes,$600,"174,511",," Rear Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310251/2007-nissan-skyline-sedan?referringPage=SearchResults
Toyota,Hiace,2016,No,,"195,052",," Front Damage, Left Side Damage, Right Side Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",6.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310253/2016-toyota-hiace-van?referringPage=SearchResults
Mazda,MAZDA6,2011,Yes,$600,"241,622",," Right Front Damage, Selling Registered","5spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310266/2011-mazda-mazda6-wagon-gsx-2-5-5at-station-wagon?referringPage=SearchResults
Mazda,Axela,2014,No,$700,"69,104",," Front Damage, Structural Damage, Suspension Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310270/2014-mazda-axela-hatch?referringPage=SearchResults
Ford,Territory,2011,No,$1,,," Fire Damage, Fire - Entire Vehicle, Structural Damage, Stolen & Recovered, Selling De-Registered",,7.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007310305/2011-ford-territory-titanium-awd-diesel-station-wagon?referringPage=SearchResults
Toyota,Markx,2005,No,$500,"243,240",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300314/2005-toyota-markx-250g-sedan?referringPage=SearchResults
Nissan,Bluebird,2005,No,$100,"174,214",," Rear Damage, Structural Damage, Selling De-Registered","5spd,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310320/2005-nissan-bluebird-sylphy-sedan?referringPage=SearchResults
Toyota,Surf,2001,No,"$2,300","318,113",," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","5spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300351/2001-toyota-surf-hilux-station-wagon?referringPage=SearchResults
CARAVAN,Abbey Spectrum 540,2001,No,$0,1,0.0," Structural Damage, Selling De-Registered",,,,https://manheim.co.nz/damaged-vehicles/000000000007290357/2001-caravan-abbey-spectrum-540-caravan?referringPage=SearchResults
Honda,Accord,2008,No,$500,"210,339",," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310389/2008-honda-accord-sedan?referringPage=SearchResults
Honda,fit,2014,No,"$1,300","121,545",," Left Rear Damage, Rear Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310416/2014-honda-fit-hatch?referringPage=SearchResults
Honda,Civic,2008,No,$500,,," Front Damage, Left Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007310420/2008-honda-civic-hybrid-sedan?referringPage=SearchResults
Toyota,Corolla,2016,No,"$1,300","113,076",," Left Side Damage, Structural Damage, Selling De-Registered","CVT,",5.0,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007310443/2016-toyota-corolla-hybrid-1-8ph-cvt-hatch?referringPage=SearchResults
Kia,Sportage,2017,No,,"207,673",," Front Damage, Right Front Damage, Underbody Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007250446/2017-kia-sportage-lx-2-0d-4wd-6at-station-wagon?referringPage=SearchResults
Toyota,Hilux,2017,No,,"163,166",," Left Front Damage, Left Side Damage, Roof Damage, Right Front Damage, Right Side Damage, Dismantled - Engine, Dismantled - Interior, Structural Damage, Selling De-Registered","6spd Manual,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007310478/2017-toyota-hilux-sr5-limited-td-dc-2-dual-cab-utility?referringPage=SearchResults
Volkswagen,Golf,2006,No,$500,"77,844",," Left Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310499/2006-volkswagen-golf-gti-hatch?referringPage=SearchResults
