Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Subaru,Legacy,2008,No,$650,"373,278",1.0," Left Rear Damage, Impact Medium - Left Side, Impact Medium - Right Side, Impact Light - Rear, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006910022/2008-subaru-legacy-station-wagon?referringPage=SearchResults
CLAAS,Jaguar,2005,No,$0,,0.0," Impact Heavy - Right Side, Selling De-Registered","Automatic,",,,https://manheim.co.nz/damaged-vehicles/000000000006930031/2005-claas-jaguar-harvester?referringPage=SearchResults
Toyota,Hiace,1994,No,$650,"169,968",1.0," Front Damage, Impact Heavy - Front, Impact Heavy - Left Side, Selling De-Registered","Automatic,",9.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006930034/1994-toyota-hiace-station-wagon?referringPage=SearchResults
Toyota,Vitz,2006,No,$700,"214,798",1.0," Front Damage, Impact Light - Front, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006930039/2006-toyota-vitz-hatch?referringPage=SearchResults
Volkswagen,Tiguan,2013,No,$950,"155,120",1.0," Front Damage, Selling De-Registered","4spd Automatic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006930075/2013-volkswagen-tiguan-tdi-103kw-7dsg-hatch?referringPage=SearchResults
Toyota,Corolla,2005,No,$750,"161,579",1.0," Front Damage, Rear Damage, Right Rear Damage, Right Side Damage, Impact Heavy - Rear, Impact Medium - Front, Impact Medium - Right Side, Underbody Damage, Selling De-Registered","5spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006930076/2005-toyota-corolla-runx-hatch?referringPage=SearchResults
Toyota,Corolla,2013,No,"$1,350",,0.0," Rear Damage, Impact Heavy - Rear, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006930080/2013-toyota-corolla-gx-1-8p-hatch-cv-hatch?referringPage=SearchResults
Mercedes-Benz,ML500,2008,No,"$1,800",,0.0," Airbags Deployed, Front Damage, Interior Damage, Right Front Damage, Selling De-Registered",,5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006930153/2008-mercedes-benz-ml500-station-wagon?referringPage=SearchResults
Nissan,Wingroad,2009,No,$900,,1.0," Front Damage, Impact Heavy - Front, Selling De-Registered",,5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006930155/2009-nissan-wingroad-station-wagon?referringPage=SearchResults
Kawasaki,EN,2020,No,$0,"10,997",1.0," Frame Damaged, Impact Light - Left Side, Selling De-Registered",,,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006930158/2020-kawasaki-en-650-motorcycle?referringPage=SearchResults
