Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Mazda,MPV,2006,Yes,$600,,," Front Damage, Stolen & Recovered, Selling Registered","Automatic,",8.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007320018/2006-mazda-mpv-station-wagon?referringPage=SearchResults
Mazda,CX-5,2015,No,,,," Rear Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007320039/2015-mazda-cx-5-gsxptr-2-0p-6at-sw--station-wagon?referringPage=SearchResults
Subaru,Forester,2008,Yes,,"176,432",, Selling Registered,"Tiptronic, Drive Type, Four Wheel Drive, Fuel Type, Petro",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007320047/2008-subaru-forester-station-wagon?referringPage=SearchResults
CARAVAN,Compass Rallyo,2008,No,$0,,0.0," Left Front Damage, Left Side Damage, Structural Damage, Selling De-Registered",,,,https://manheim.co.nz/damaged-vehicles/000000000007330074/2008-caravan-compass-rallyo-caravan?referringPage=SearchResults
Nissan,Tiida,2006,Yes,$600,,," Front Damage, Airbags Deployed, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007320167/2006-nissan-tiida-hatch?referringPage=SearchResults
Yamaha,MT10ASP,2023,No,"$1,300",,," Structural Damage, Selling De-Registered","Automatic,",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310169/2023-yamaha-mt10asp-p-motorcycle?referringPage=SearchResults
BMW,116i,2014,No,$400,"78,931",," Left Rear Damage, Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007320202/2014-bmw-116i-hatch?referringPage=SearchResults
Toyota,RAV4,2009,No,"$1,400",,," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007320212/2009-toyota-rav4-2-4-4wd-ltd-wagon-4-station-wagon?referringPage=SearchResults
BMW,116i,2012,Yes,$500,"101,059",," Front Damage, Selling Registered","4spd,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007320216/2012-bmw-116i-hatch?referringPage=SearchResults
Aprilia,RS 457,2025,No,$500,390,," Structural Damage, Suspension Damage, Selling De-Registered","Automatic,",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007320217/2025-aprilia-rs-457-multi-purpose-vehicle?referringPage=SearchResults
Toyota,Aqua,2014,No,$800,,," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5.0,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007320231/2014-toyota-aqua-hybrid-hatch?referringPage=SearchResults
Mitsubishi,Lancer,2008,No,$500,"131,907",," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007320255/2008-mitsubishi-lancer-2-0p-vr-sedan-auto-sedan?referringPage=SearchResults
