Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Volkswagen,Golf,2008,No,$0,"145,316",1.0," Water Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006610018/2008-volkswagen-golf-gti-hatch?referringPage=SearchResults
LDV,V80,2016,No,,"167,054",1.0," Front Damage, Selling De-Registered","Automatic,",3.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006840077/2016-ldv-v80-big-amt-2-5d-6am-lv-van?referringPage=SearchResults
Nissan,Tiida,2004,No,$0,"117,949",0.0," Chassis Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006830341/2004-nissan-tiida-hatch?referringPage=SearchResults
Mazda,Atenza,2008,No,,,,,"Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006780372/2008-mazda-atenza-5d-station-wagon?referringPage=SearchResults
Mazda,Axela,2011,No,$0,"150,139",1.0," Left Rear Damage, Roof Damage, Rolled, Airbags Deployed, Impact Heavy - Entire Vehicle, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006840382/2011-mazda-axela-mps-hatch?referringPage=SearchResults
Toyota,Wish,2006,No,$0,,1.0," Left Side Damage, Impact Heavy - Left Side, Impact Light - Front, Selling De-Registered",,7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006830382/2006-toyota-wish-station-wagon?referringPage=SearchResults
Chevrolet,Cruze,2006,No,$0,"80,362",1.0," Front Damage, Glass Broken, Impact Light - Left Side, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006820538/2006-chevrolet-cruze-hatch?referringPage=SearchResults
Mazda,Axela,2005,No,$0,"206,879",1.0," Glass Broken, Interior Damage, Ignition Damage, Impact Light - Front, Impact Light - Rear, Dismantled - Interior, Stolen & Recovered, Selling De-Registered","5spd Manual,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006830659/2005-mazda-axela-sedan?referringPage=SearchResults
Porsche,Cayenne S,2013,No,,"162,652",, Impact Light - Right Side,"6spd Tiptronic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006760671/2013-porsche-cayenne-s-4-2-v8-turbo-4d-station-wagon?referringPage=SearchResults
Nissan,X-trail,2006,Yes,$0,,0.0," Ignition Damage, Rear Damage, Impact Light - Rear, Impact Light - Left Side, Impact Light - Right Side, Stolen & Recovered, Selling Registered",,5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006830717/2006-nissan-x-trail-station-wagon?referringPage=SearchResults
Great Wall,GWM Cannon,2022,No,$0,"71,435",,,"8spd Tiptronic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006800736/2022-great-wall-gwm-cannon-luxury-4x4-2-0dt-4w-4d-dual-cab-utility?referringPage=SearchResults
Suzuki,Swift,2008,No,$0,"89,309",0.0," Rear Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006840812/2008-suzuki-swift-hatch?referringPage=SearchResults
Nissan,Leaf,2016,No,$0,,0.0," Front Damage, Rear Damage, Impact Heavy - Rear, Impact Medium - Front, Selling De-Registered",,5.0,Electric,https://manheim.co.nz/damaged-vehicles/000000000006840867/2016-nissan-leaf-hatch?referringPage=SearchResults
Toyota,Hilux,2018,No,,"85,798",, Selling De-Registered,"6spd Tiptronic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006840887/2018-toyota-hilux-sr-td-dc-2-8d-4wd-6-dual-cab-utility?referringPage=SearchResults
Ford,Mondeo,2004,Yes,$0,"352,024",1.0," Right Front Damage, Impact Medium - Front, Selling Registered","5spd Manual,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006840901/2004-ford-mondeo-2-0-sedan-man-sedan?referringPage=SearchResults
Ford,Focus,2007,No,$0,"180,870",1.0," Right Front Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006841008/2007-ford-focus-2-0-a-hatch-hatch?referringPage=SearchResults
Mazda,Axela,2008,No,$0,"202,523",1.0," Front Damage, Impact Medium - Front, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006851002/2008-mazda-axela-sedan?referringPage=SearchResults
Nissan,Juke,2010,No,$0,"150,006",1.0," Front Damage, Impact Medium - Front, Selling De-Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006851026/2010-nissan-juke-hatch?referringPage=SearchResults
Volkswagen,Amarok,2014,Yes,,"144,805",," Drives, Motor Runs, No Major Panel Dmg, Selling Registered","6spd Manual,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006851037/2014-volkswagen-amarok-dc-2wd-400-hl-man-dual-cab-utility?referringPage=SearchResults
Subaru,Legacy,2008,No,$0,,1.0," Left Side Damage, Impact Medium - Left Side, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006851105/2008-subaru-legacy-station-wagon?referringPage=SearchResults
Nissan,Elgrand,2005,No,$0,"151,284",0.0," Engine Damage, Front Damage, Interior Damage, Has Key, Left Front Damage, Right Front Damage, Right Rear Damage, Water Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006801150/2005-nissan-elgrand-station-wagon?referringPage=SearchResults
Mitsubishi,Lancer,2010,No,$0,"188,427",1.0," Left Front Damage, Impact Medium - Front, Suspension Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006811215/2010-mitsubishi-lancer-2-0-es-sedan-auto-sedan?referringPage=SearchResults
BMW,X6,2018,No,,"70,326",, Selling De-Registered,"8spd Automatic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006811229/2018-bmw-x6-xdrive-30d-sav-3-0d-5d-touring?referringPage=SearchResults
Nissan,Tiida,2009,No,$0,"53,149",1.0," Rear Damage, Impact Medium - Rear, Selling De-Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006841268/2009-nissan-tiida-hatch?referringPage=SearchResults
Subaru,Outback,2005,No,$0,"283,029",2.0," Right Rear Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006841270/2005-subaru-outback-station-wagon?referringPage=SearchResults
Mercedes-Benz,C63,2009,No,,"114,968",0.0," Water Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006621375/2009-mercedes-benz-c63-amg-sedan?referringPage=SearchResults
MITSUBISHI FUSO,Canter,2014,No,,"219,808",, Impact Light - Front,"5spd Manual 5spd + Reverse Man,",7.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006821397/2014-mitsubishi-fuso-canter-few75g1-euro-5-high-rail-crane-truck-gcm-11-000kg?referringPage=SearchResults
Mazda,Demio,2008,Yes,$0,"126,336",0.0," Glass Broken, Ignition Damage, Vandalised - Interior, Impact Light - Rear, Impact Light - Right Side, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006851410/2008-mazda-demio-hatch?referringPage=SearchResults
Mahindra,XUV,2021,Yes,,"44,889",, Selling Registered,"Automatic,",7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006801428/2021-mahindra-xuv-2-2pt-4wd-6at-station-wagon?referringPage=SearchResults
Toyota,Aqua,2014,No,$0,,0.0," Vandalised - Interior, Stolen & Recovered, Selling De-Registered","Automatic,",5.0,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000006851437/2014-toyota-aqua-hybrid-hatch?referringPage=SearchResults
Mitsubishi,RVR,2013,No,$0,"57,742",0.0," Front Damage, Impact Heavy - Front, Selling De-Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006841462/2013-mitsubishi-rvr-station-wagon?referringPage=SearchResults
Mazda,CX-5,2020,No,,"128,374",1.0," Right Side Damage, Impact Medium - Right Side, Airbags Deployed, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006851473/2020-mazda-cx-5-gsx-ptr-2-5p-4wd-6a-station-wagon?referringPage=SearchResults
Subaru,Impreza,2009,No,$0,"111,400",1.0," Front Damage, Left Side Damage, Right Side Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006831477/2009-subaru-impreza-sedan-2-0r-auto-sedan?referringPage=SearchResults
BMW,X1,2010,No,$0,"97,043",0.0," Engine Damage, Front Damage, Impact Heavy - Front, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006841504/2010-bmw-x1-touring?referringPage=SearchResults
CARAVAN,Lightweight Vagaband,1974,Yes,$400,,0.0," Left Side Damage, Selling Registered",,,,https://manheim.co.nz/damaged-vehicles/000000000006841505/1974-caravan-lightweight-vagaband-caravan?referringPage=SearchResults
Honda,fit,2007,No,$0,"35,788",1.0," Front Damage, Impact Medium - Front, Selling De-Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006781577/2007-honda-fit-hatch?referringPage=SearchResults
Mitsubishi,L200 D/cab,1989,Yes,$0,"462,482",1.0," Impact Light - Front, Impact Light - Rear, Impact Light - Left Side, Impact Light - Right Side, Selling Registered","Automatic,",2.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006851641/1989-mitsubishi-l200-d-cab-dual-cab-utility?referringPage=SearchResults
Toyota,Platz,2004,No,$0,"153,448",1.0," Right Rear Damage, Impact Medium - Rear, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006851681/2004-toyota-platz-sedan?referringPage=SearchResults
