Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Subaru,Impreza,2007,Yes,$0,,," Front Damage, Ignition Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310012/2007-subaru-impreza-station-wagon?referringPage=SearchResults
Nissan,Pulsar,1991,Yes,$0,"202,259",," Ignition Damage, Left Side Damage, Right Front Damage, Stolen & Recovered, Selling Registered","Manual,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300096/1991-nissan-pulsar-vi-hatch?referringPage=SearchResults
Volvo,S40,2011,No,$0,"129,709",," Front Damage, Left Front Damage, Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310106/2011-volvo-s40-sedan?referringPage=SearchResults
Mazda,Demio,2009,Yes,$0,"210,735",," Glass Broken, Ignition Damage, Left Side Damage, Right Side Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310110/2009-mazda-demio-hatch?referringPage=SearchResults
Hyundai,145,2011,Yes,$0,"134,416",," Left Side Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310161/2011-hyundai-145-sedan?referringPage=SearchResults
Triumph,Scrambler 1200,2020,Yes,$0,,," Front Damage, Left Side Damage, Selling Registered","Manual,",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310179/2020-triumph-scrambler-1200-motorcycle?referringPage=SearchResults
Jeep,Cherokee,2007,Yes,$0,"275,712",, Selling Registered,"Automatic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007300205/2007-jeep-cherokee-limited-diesel-station-wagon?referringPage=SearchResults
Toyota,Surf,2001,No,$0,"318,113",," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","5spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300351/2001-toyota-surf-hilux-station-wagon?referringPage=SearchResults
CARAVAN,Abbey Spectrum 540,2001,No,$0,1,0.0," Structural Damage, Selling De-Registered",,,,https://manheim.co.nz/damaged-vehicles/000000000007290357/2001-caravan-abbey-spectrum-540-caravan?referringPage=SearchResults
Toyota,Vitz,2007,Yes,$0,"273,675",," Front Damage, Selling Registered","5spd,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300539/2007-toyota-vitz-hatch?referringPage=SearchResults
BMW,320i,2013,Yes,,"213,234",," Malicious/Vandalised, Vandalised - Entire Vehicle, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300568/2013-bmw-320i-touring?referringPage=SearchResults
Toyota,RAV4,2000,Yes,$0,"219,702",," Left Front Damage, Selling Registered","Automatic,",4.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310717/2000-toyota-rav4-station-wagon?referringPage=SearchResults
Volkswagen,Golf,2011,Yes,$0,"148,943",," Left Front Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310722/2011-volkswagen-golf-station-wagon?referringPage=SearchResults
Mustang,2800 Sports Cruiser,2007,No,$0,,0.0," Water Damage, Selling De-Registered",,,,https://manheim.co.nz/damaged-vehicles/000000000007290724/2007-mustang-2800-sports-cruiser-7290724-boat---trailer?referringPage=SearchResults
Ford,Focus,2004,No,$0,"122,776",," Front Damage, Light Dmg, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300853/2004-ford-focus-zetec-hatch-a-hatch?referringPage=SearchResults
Suzuki,500,2002,No,$0,"43,933",," Front Damage, Frame Damaged, Structural Damage, Selling De-Registered","Automatic,",,,https://manheim.co.nz/damaged-vehicles/000000000007270879/2002-suzuki-500-quad-bike?referringPage=SearchResults
Harley-Davidson,Softail,2018,No,$0,,," Front Damage, Structural Damage, Selling De-Registered","Automatic,",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007301008/2018-harley-davidson-softail-18-fat-bob-s-motorcycle?referringPage=SearchResults
Ford,Mondeo,2013,Yes,$0,"169,611",," Hail Dmg, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007311050/2013-ford-mondeo-hatch?referringPage=SearchResults
Hyundai,I30,2015,Yes,$0,"63,797",," Front Damage, Left Side Damage, Right Side Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007311155/2015-hyundai-i30-gd2-0elite-2-0p6a-h-hatch?referringPage=SearchResults
Nissan,Tino,1999,Yes,$0,"178,735",," Right Front Damage, Selling Registered",,6.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007311241/1999-nissan-tino-hatch?referringPage=SearchResults
Toyota,Corolla,2014,No,$0,,," Left Side Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007311250/2014-toyota-corolla-axio-sedan?referringPage=SearchResults
BYD,Dolphin,2025,No,$0,1,," Front Damage, Left Side Damage, Rear Damage, Right Side Damage, Airbags Deployed, Structural Damage, Suspension Damage, Selling De-Registered","Automatic, Fuel Type, Electri",5.0,Electric,https://manheim.co.nz/damaged-vehicles/000000000007281262/2025-byd-dolphin-standard-range-45kw-hatch?referringPage=SearchResults
