Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
TRACTOR GOLDONI,Star,2011,No,,,0.0," Interior Damage, Water Damage, Selling De-Registered","Automatic, Drive Type, 6x4, Fuel Type, Diese",,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006700058/2011-tractor-goldoni-star-tractor?referringPage=SearchResults
Nissan,March,2009,Yes,$0,"133,843",0.0," Front Damage, Glass Broken, Ignition Damage, Left Rear Damage, Right Rear Damage, Vandalised - Interior, Impact Light - Rear, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006740085/2009-nissan-march-hatch?referringPage=SearchResults
Ford,Falcon BF2 XR6 Sedan A,2007,Yes,,"174,205",, Selling Registered,,,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006740088/2007-ford-falcon-bf2-xr6-sedan-a?referringPage=SearchResults
Toyota,Hilux,2008,No,,"188,206",0.0," Front Damage, Left Front Damage, Right Front Damage, Rolled, Selling De-Registered","5spd Manual,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006740115/2008-toyota-hilux-dual-cab-utility?referringPage=SearchResults
Kymco,UXV 450 Turf,2019,No,$0,,0.0," Front Damage, Impact Heavy - Front, Selling De-Registered","Automatic, Drive Type, 4x2, Fuel Type, Petro",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006700131/2019-kymco-uxv-450-turf-quad-bike?referringPage=SearchResults
Hyundai,I30,2009,No,$600,"306,548",1.0," Left Side Damage, Impact Heavy - Left Side, Selling De-Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006700146/2009-hyundai-i30-1-6-a4-sedan?referringPage=SearchResults
Toyota,Corolla,2015,Yes,,,0.0," Glass Broken, Interior Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5.0,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000006740165/2015-toyota-corolla-fielder-station-wagon?referringPage=SearchResults
Ford,Ecosport,2015,No,$0,"162,205",1.0," Front Damage, Left Side Damage, Rear Damage, Roof Damage, Right Side Damage, Impact Heavy - Front, Impact Heavy - Roof, Impact Heavy - Left Side, Selling De-Registered","6spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006710180/2015-ford-ecosport-titanium-1-5p-6at-s-station-wagon?referringPage=SearchResults
Toyota,Vitz,2007,Yes,"$1,000","158,820",0.0," Engine Damage, Glass Broken, Ignition Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006740193/2007-toyota-vitz-hatch?referringPage=SearchResults
Mazda,Axela,2009,No,$0,"113,266",0.0," Rear Damage, Right Front Damage, Impact Heavy - Right Side, Impact Medium - Front, Impact Light - Rear, Selling De-Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006740194/2009-mazda-axela-sedan?referringPage=SearchResults
