Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Mitsubishi,Pajero,2005,Yes,N/A,"285,698",," Right Side Damage, Selling Registered",N/A,7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450005/2005-mitsubishi-pajero-4wd-3-8p-exceed-lwb-station-wagon?referringPage=SearchResults
Mazda,Axela,2004,No,$0,"297,888",," Rear Damage, Structural Damage, Selling De-Registered","4spd,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450033/2004-mazda-axela-hatch?referringPage=SearchResults
Holden,Commodore,2018,No,$0,N/A,," Airbags Deployed, Left Front Damage, Left Rear Damage, Right Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450034/2018-holden-commodore-sedan?referringPage=SearchResults
Toyota,Mark,2009,No,$0,"160,202",," Front Damage, Structural Damage, Suspension Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450035/2009-toyota-mark-sedan?referringPage=SearchResults
Toyota,Corolla,2013,No,$0,"264,821",," Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450036/2013-toyota-corolla-gx-1-8p-hatch-cv-hatch?referringPage=SearchResults
Toyota,Aqua,2013,No,$0,"121,380",," Left Rear Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007430080/2013-toyota-aqua-hatch?referringPage=SearchResults
Renault,Koleos,2015,No,$0,"101,429",," Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007430085/2015-renault-koleos-2-0-4x4-2-0d-4wd-6a-station-wagon?referringPage=SearchResults
Suzuki,Swift,2020,No,$0,N/A,," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430096/2020-suzuki-swift-glc-1-2p-cvt-hatch?referringPage=SearchResults
Mitsubishi,ASX,2018,No,$0,"66,372",," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450090/2018-mitsubishi-asx-xls-2-0p-cvt-station-wagon?referringPage=SearchResults
Volkswagen,Golf,2008,No,$0,N/A,," Rolled, Structural Damage, Stolen & Stripped, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450096/2008-volkswagen-golf-hatch?referringPage=SearchResults
Mazda,Axela,2007,No,$0,"237,055",," Left Side Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430106/2007-mazda-axela-hatch?referringPage=SearchResults
Ford,Ranger,2007,No,$0,"205,397",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007450105/2007-ford-ranger-3-0td-xlt-dc-w-s-4x-dual-cab-utility?referringPage=SearchResults
Nissan,Navara,2002,No,$0,N/A,," Rear Damage, Right Front Damage, Vandalised - Interior, Structural Damage, Selling De-Registered",N/A,3,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007450107/2002-nissan-navara-3-0-4wd-s-c-c-s-die-dual-cab-chassis?referringPage=SearchResults
Ford,Territory,2011,No,$0,"155,651",," Left Side Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440162/2011-ford-territory-station-wagon?referringPage=SearchResults
Mazda,Atenza,2011,No,$0,"217,901",," Left Side Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440197/2011-mazda-atenza-sedan?referringPage=SearchResults
Holden,Captiva,2010,No,$0,"1,234",," Fire Damage, Selling De-Registered","5spd Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430205/2010-holden-captiva-lx-awd-v6-at-station-wagon?referringPage=SearchResults
Mazda,Demio,2009,No,$0,"125,891",," Chassis Damage, Front Damage, Structural Damage, Selling De-Registered","4spd,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430210/2009-mazda-demio-hatch?referringPage=SearchResults
Nissan,Urvan,2010,No,$0,N/A,," Front Damage, Structural Damage, Selling De-Registered",N/A,3,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007440233/2010-nissan-urvan-3-0-diesel-manual-van?referringPage=SearchResults
Audi,A5,2014,No,$0,N/A,," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",4,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430253/2014-audi-a5-2-0t-hatch?referringPage=SearchResults
Mazda,Axela,2006,No,$0,N/A,," Front Damage, Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430254/2006-mazda-axela-hatch?referringPage=SearchResults
Volkswagen,Golf,2015,No,$0,N/A,," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430284/2015-volkswagen-golf-highline-hatch?referringPage=SearchResults
Ford,Endura,2018,No,$0,"64,003",," Left Side Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007450296/2018-ford-endura-st-line-2-0d-4wd-6a-station-wagon?referringPage=SearchResults
Ford,Mondeo,2005,No,$0,N/A,," Left Front Damage, Left Rear Damage, Right Front Damage, Right Rear Damage, Airbags Deployed, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450305/2005-ford-mondeo-2-0-sedan-aut0-sedan?referringPage=SearchResults
Mazda,Demio,2007,Yes,$0,"178,997",," Front Damage, Glass Broken, Right Rear Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450316/2007-mazda-demio-hatch?referringPage=SearchResults
Toyota,Previa,2005,No,$0,N/A,," Front Damage, Structural Damage, Selling De-Registered",N/A,8,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450317/2005-toyota-previa-2-4p-wagon-4a-station-wagon?referringPage=SearchResults
Nissan,Tiida,2006,No,$0,"190,508",," Front Damage, Left Front Damage, Left Rear Damage, Right Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450320/2006-nissan-tiida-hatch?referringPage=SearchResults
Nissan,Tiida,2007,Yes,$0,N/A,," Interior Damage, Ignition Damage, Left Side Damage, Right Side Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440389/2007-nissan-tiida-latio-hatch?referringPage=SearchResults
Honda,Civic,2004,No,$0,N/A,," Left Side Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450391/2004-honda-civic-sedan?referringPage=SearchResults
Suzuki,Swift,2009,No,$0,"91,596",," Front Damage, Structural Damage, Selling De-Registered","5spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450418/2009-suzuki-swift-glxha2-1-5-5dr-hatch?referringPage=SearchResults
Mazda,Premacy,2008,No,$0,N/A,," Airbags Deployed, Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered",N/A,7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450422/2008-mazda-premacy-2000-station-wagon?referringPage=SearchResults
Nissan,Note,2017,No,$0,"102,646",," Left Front Damage, Left Rear Damage, Right Front Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430464/2017-nissan-note-hatch?referringPage=SearchResults
Mitsubishi,Mirage,2012,No,$0,"206,706",," Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450466/2012-mitsubishi-mirage-hatch?referringPage=SearchResults
Mazda,Demio,1997,No,$0,"358,567",," Left Rear Damage, Right Rear Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450467/1997-mazda-demio-hatch?referringPage=SearchResults
Nissan,Tiida,2007,No,$0,N/A,," Left Side Damage, Right Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440481/2007-nissan-tiida-hatch?referringPage=SearchResults
Holden,Trax,2014,No,$0,"72,150",," Left Front Damage, Right Front Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007390544/2014-holden-trax-ltz-1-8p-6at-sw-4dr-station-wagon?referringPage=SearchResults
Mazda,BT-50,2006,No,$0,"302,560",," Chassis Damage, Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007440550/2006-mazda-bt-50-d-cab-w-s-4wd-sdx-a-dual-cab-chassis?referringPage=SearchResults
Toyota,Corolla,2012,Yes,$0,"89,981",," Glass Broken, Ignition Damage, Left Front Damage, Left Rear Damage, Left Side Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450559/2012-toyota-corolla-fielder-station-wagon?referringPage=SearchResults
Honda,CRV,2004,No,$0,N/A,," Front Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450561/2004-honda-crv-2-4l-4wd-station-wagon?referringPage=SearchResults
Hyundai,I20,2013,No,$0,N/A,," Front Damage, Rear Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440571/2013-hyundai-i20-pb-1-4-a4-hatch?referringPage=SearchResults
Ford,Kuga,2014,Yes,$0,N/A,," Left Front Damage, Dismantled - Engine, Selling Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007410589/2014-ford-kuga-awd-2-0-diesel-auto-station-wagon?referringPage=SearchResults
Ford,Escape,2017,No,$0,N/A,," Right Rear Damage, Right Side Damage, Airbags Deployed, Underbody Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430607/2017-ford-escape-ambiente-fwd-petrol-station-wagon?referringPage=SearchResults
Mazda,Demio,2008,Yes,$0,N/A,," Right Side Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450609/2008-mazda-demio-hatch?referringPage=SearchResults
Honda,CRV Sport,2002,No,$0,N/A,," Front Damage, Structural Damage, Selling De-Registered",N/A,N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450610/2002-honda-crv-sport-van?referringPage=SearchResults
Nissan,March,2000,No,$0,N/A,," Front Damage, Light Dmg, Structural Damage, Selling De-Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450611/2000-nissan-march-hatch?referringPage=SearchResults
Suzuki,Swift,2002,No,$0,"168,778",," Left Rear Damage, Rear Damage, Right Rear Damage, Structural Damage, Selling De-Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450637/2002-suzuki-swift-hatch?referringPage=SearchResults
Mazda,Demio,2007,Yes,$0,"110,561",," Ignition Damage, Stolen & Recovered, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450679/2007-mazda-demio-hatch?referringPage=SearchResults
Lexus,IS300H,2014,No,N/A,"110,842",," Structural Damage, Selling De-Registered",N/A,5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007440684/2014-lexus-is300h-sedan?referringPage=SearchResults
Holden,Adventra,2005,No,$0,N/A,," Right Rear Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430755/2005-holden-adventra-cx6-station-wagon?referringPage=SearchResults
Suzuki,Swift,2008,No,$0,N/A,," Front Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430757/2008-suzuki-swift-sport-1-6l-hatch?referringPage=SearchResults
Honda,CBR,2021,No,$0,1,," Front Fork Damaged, Structural Damage, Selling De-Registered","Automatic,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007390754/2021-honda-cbr-650-p-motorcycle?referringPage=SearchResults
Toyota,Prius,2012,No,$0,"362,907",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007440815/2012-toyota-prius-hatch?referringPage=SearchResults
Toyota,Passo,2008,No,$0,N/A,," Left Rear Damage, Rear Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440849/2008-toyota-passo-hatch?referringPage=SearchResults
Holden,Cruze,2011,No,$0,"94,710",," Left Front Damage, Left Rear Damage, Right Rear Damage, Underbody Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440862/2011-holden-cruze-sedan?referringPage=SearchResults
Mercedes-Benz,A180,2013,No,$0,"128,276",," Front Damage, Left Side Damage, Structural Damage, Under Body Damage, Selling De-Registered","5spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450870/2013-mercedes-benz-a180-hatch?referringPage=SearchResults
Hyundai,Sonata,2005,No,$0,"95,731",," Front Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007450885/2005-hyundai-sonata-sedan?referringPage=SearchResults
Nissan,Elgrand,2013,No,$0,"145,578",," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",8,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440892/2013-nissan-elgrand-station-wagon?referringPage=SearchResults
Kia,Sorento,2022,No,N/A,N/A,," Left Side Damage, Airbags Deployed, Structural Damage, Water Damage, Selling De-Registered",N/A,7,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007440957/2022-kia-sorento-lx-2-2dt-4wd-8am-station-wagon?referringPage=SearchResults
