Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Nissan,Dualis,2008,No,$550,,0.0," Roof Damage, Right Side Damage, Impact Heavy - Roof, Impact Heavy - Right Side, Selling De-Registered",,5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006940015/2008-nissan-dualis-station-wagon?referringPage=SearchResults
CLAAS,Jaguar,2005,No,"$1,200",,0.0," Impact Heavy - Right Side, Selling De-Registered","Automatic,",,,https://manheim.co.nz/damaged-vehicles/000000000006930031/2005-claas-jaguar-harvester?referringPage=SearchResults
Nissan,Serena,1994,Yes,$400,"303,030",0.0," Front Damage, Selling Registered","Automatic,",8.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006880035/1994-nissan-serena-fx-multi-purpose-vehicle?referringPage=SearchResults
Mazda,Demio,2012,No,$400,"165,646",0.0," Glass Broken, Ignition Damage, Left Front Damage, Right Rear Damage, Impact Heavy - Left Side, Dismantled - Interior, Stolen & Recovered, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006880089/2012-mazda-demio-hatch?referringPage=SearchResults
Honda,CRV,2002,Yes,$550,,0.0," Left Side Damage, Impact Medium - Left Side, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006940133/2002-honda-crv-sport-5d-at-2-4-wag-multi-purpose-vehicle?referringPage=SearchResults
Suzuki,Swift,2009,No,$600,,0.0," Stolen & Recovered, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006860146/2009-suzuki-swift-hatch?referringPage=SearchResults
Mercedes-Benz,ML500,2008,No,$0,,0.0," Airbags Deployed, Front Damage, Interior Damage, Right Front Damage, Selling De-Registered",,5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006930153/2008-mercedes-benz-ml500-station-wagon?referringPage=SearchResults
Kawasaki,EN,2020,No,"$1,300","10,997",1.0," Frame Damaged, Impact Light - Left Side, Selling De-Registered",,,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006930158/2020-kawasaki-en-650-motorcycle?referringPage=SearchResults
Mitsubishi,Galant,2011,No,$600,"80,808",1.0," Front Damage, Impact Medium - Front, Impact Medium - Left Side, Impact Medium - Right Side, Selling De-Registered","5spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006940173/2011-mitsubishi-galant-sedan?referringPage=SearchResults
Audi,A5,2010,Yes,,"148,946",1.0," Roof Damage, Impact Medium - Roof, Selling Registered","Automatic,",4.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006940191/2010-audi-a5-coup%C3%A9?referringPage=SearchResults
Suzuki,Ignis,2017,No,$700,"24,436",1.0," Right Side Damage, Impact Heavy - Right Side, Selling De-Registered","Automatic,",4.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006930214/2017-suzuki-ignis-ltdc-1-2p-cvt-station-wagon?referringPage=SearchResults
Mitsubishi,Mirage,1992,No,$200,"222,586",0.0," Left Front Damage, Impact Medium - Left Side, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006930219/1992-mitsubishi-mirage-hatch?referringPage=SearchResults
Toyota,Hilux,2009,No,,"304,725",2.0," Engine Damage, Fresh Water Damage, Interior Damage, Selling De-Registered","Automatic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006920228/2009-toyota-hilux-3-0td-4wd-sr5-dc-5m-utility?referringPage=SearchResults
Harley-Davidson,Touring,2017,No,"$5,000",,0.0, Selling De-Registered,"Automatic,",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006920273/2017-harley-davidson-touring-18-street-glide-anv-motorcycle?referringPage=SearchResults
Mazda,BT-50,2020,No,,,1.0," Left Side Damage, Right Side Damage, Impact Heavy - Front, Selling De-Registered","6spd Automatic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006930278/2020-mazda-bt-50-glx-d-c-w-s-3-2d-6a-station-wagon?referringPage=SearchResults
PATCHELL,3SH,2003,Yes,$0,,, Selling Registered,,,,https://manheim.co.nz/damaged-vehicles/000000000006620287/2003-patchell-3sh-mfea-log-trailer?referringPage=SearchResults
Ford,Falcon,1999,No,$425,"221,919",0.0," Rear Damage, Impact Heavy - Rear, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006940288/1999-ford-falcon-au-futura-w-station-wagon?referringPage=SearchResults
Toyota,Blade,2007,No,$0,"99,999",1.0," Rear Damage, Impact Heavy - Rear, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006940289/2007-toyota-blade-hatch?referringPage=SearchResults
MCEWAN,BT201,1993,Yes,$0,,, Selling Registered,,,,https://manheim.co.nz/damaged-vehicles/000000000006620308/1993-mcewan-bt201-mfea-log-trailer-a---b-logging?referringPage=SearchResults
CUSTOMBUILT,Mcewan BT201,1993,Yes,$0,,, Selling Registered,,,,https://manheim.co.nz/damaged-vehicles/000000000006620310/1993-custombuilt-mcewan-bt201-log-trailer?referringPage=SearchResults
MINI,Hatch,2016,No,$0,,1.0," Front Damage, Rear Damage, Impact Heavy - Front, Impact Heavy - Rear, Selling De-Registered","6spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006920322/2016-mini-hatch-cooper-1-5p-6at-ha--hatch?referringPage=SearchResults
Toyota,SAI,2012,No,,,0.0," Interior Damage, Water Damage, Selling De-Registered",,5.0,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000006940330/2012-toyota-sai-sedan?referringPage=SearchResults
Suzuki,Swift,2005,No,$600,,1.0," Rear Damage, Impact Heavy - Rear, Selling De-Registered",,5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006940348/2005-suzuki-swift-hatch?referringPage=SearchResults
Mazda,CX-3,2019,No,,"39,972",0.0," Rear Damage, Impact Heavy - Rear, Selling De-Registered","6spd Manual,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006940404/2019-mazda-cx-3-station-wagon?referringPage=SearchResults
Suzuki,Swift,2007,No,$400,"198,318",1.0," Right Rear Damage, Impact Heavy - Rear, Selling De-Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006940416/2007-suzuki-swift-hatch?referringPage=SearchResults
