Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Volkswagen,Golf,2007,Yes,,"133,069",, Selling Registered,"Tiptronic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007110046/2007-volkswagen-golf-5d-hatch?referringPage=SearchResults
Volkswagen,Tiguan,2009,Yes,,"172,933",, Selling Registered,"4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007110059/2009-volkswagen-tiguan-3d-hatch?referringPage=SearchResults
Subaru,Impreza,2017,No,$0,"83,250",1.0," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007100088/2017-subaru-impreza-hatch?referringPage=SearchResults
Toyota,Corolla,2019,No,,"66,530",1.0," Left Rear Damage, Rear Damage, Right Rear Damage, Structural Damage, Selling De-Registered","CVT,",5.0,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007110105/2019-toyota-corolla-gx-1-8p-cvt-hatch?referringPage=SearchResults
Suzuki,Splash,2008,No,$0,"168,380",0.0," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007100151/2008-suzuki-splash-hatch?referringPage=SearchResults
Nissan,Cube,2003,No,$0,,0.0," Roof Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007100155/2003-nissan-cube-station-wagon?referringPage=SearchResults
Toyota,Camry,2007,No,$0,"286,284",1.0," Left Rear Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007100161/2007-toyota-camry-2-4p-gl-sedan-5a-sedan?referringPage=SearchResults
Jeep,Patriot,2010,No,$0,,1.0," Front Damage, Left Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007100168/2010-jeep-patriot-2-4cvt-ltd-station-wagon?referringPage=SearchResults
Honda,Civic,2006,No,$0,"160,420",1.0," Front Damage, Left Front Damage, Left Rear Damage, Right Front Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007120169/2006-honda-civic-2-0s-sedan?referringPage=SearchResults
Nissan,Caravan,2013,No,$0,"173,342",1.0," Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",6.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007100170/2013-nissan-caravan-station-wagon?referringPage=SearchResults
Honda,Odyssey,2000,Yes,$0,,0.0," Ignition Damage, Stolen & Recovered, Selling Registered","Automatic,",7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007120188/2000-honda-odyssey-station-wagon?referringPage=SearchResults
Mahindra,Pikup,2018,No,$0,,1.0," Airbags Deployed, Left Front Damage, Right Front Damage, Right Side Damage, Airbags Deployed, Structural Damage, Suspension Damage, Selling De-Registered","6spd Manual,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007120196/2018-mahindra-pikup-s6-2-2dt-4wd-6mt-s6-dual-cab-utility?referringPage=SearchResults
Suzuki,Swift,2012,No,$0,,1.0," Airbags Deployed, Front Damage, Left Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007120199/2012-suzuki-swift-ltda-1-4-5dr-hatch?referringPage=SearchResults
