Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
BYD,Atto 3,2023,No,,"85,369",," Chassis Damage, Front Damage, Left Front Damage, Left Rear Damage, Rear Damage, Right Front Damage, Right Rear Damage, Structural Damage, Suspension Damage, Selling De-Registered","Automatic, Fuel Type, Electri",5.0,Electric,https://manheim.co.nz/damaged-vehicles/000000000007280056/2023-byd-atto-3-extended-range-60kw-station-wagon?referringPage=SearchResults
Subaru,Legacy,2007,No,$1,,," Front Damage, Left Side Damage, Rear Damage, Right Side Damage, Fire - Interior, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270119/2007-subaru-legacy-station-wagon?referringPage=SearchResults
Honda,Civic,2010,No,$0,,," Left Rear Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270128/2010-honda-civic-sedan?referringPage=SearchResults
Nissan,Navara,2006,No,$750,"341,561",," Chassis Damage, Front Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007270182/2006-nissan-navara-2-5-2wd-at-diesel-utility?referringPage=SearchResults
Mazda,Axela,2004,No,$600,"228,061",," Left Rear Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270333/2004-mazda-axela-hatch?referringPage=SearchResults
Toyota,Hilux,1997,No,"$1,350","221,642",," Airbags Deployed, Front Damage, Has Key, Left Front Damage, Left Side Damage, Rear Damage, Structural Damage, Selling De-Registered",,2.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270385/1997-toyota-hilux-utility?referringPage=SearchResults
Nissan,X-trail,2009,No,$600,"168,476",," Front Damage, Rear Damage, Structural Damage, Selling De-Registered","5spd,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007280386/2009-nissan-x-trail-station-wagon?referringPage=SearchResults
Mazda,Demio,2008,Yes,$700,"138,212",," Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007280394/2008-mazda-demio-hatch?referringPage=SearchResults
Mazda,Demio,2015,No,$750,"146,219",," Left Front Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007280409/2015-mazda-demio-hatch?referringPage=SearchResults
Toyota,Vanguard,2009,No,"$2,050","122,418",," Front Damage, Structural Damage, Selling De-Registered",,7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270437/2009-toyota-vanguard-station-wagon?referringPage=SearchResults
Audi,S4,2011,No,$0,,," Water Damage, Selling De-Registered",,4.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007280469/2011-audi-s4-v8-cabriolet?referringPage=SearchResults
MG,ZS,2023,No,,"9,728",, Selling De-Registered,"Automatic, Drive Type, Front Wheel Drive, Fuel Type, Electri",5.0,Electric,https://manheim.co.nz/damaged-vehicles/000000000007280589/2023-mg-zs-ev-51kwh-ev-at-station-wagon?referringPage=SearchResults
Honda,Grace,2015,No,$800,,," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007280646/2015-honda-grace-sedan?referringPage=SearchResults
Toyota,Vitz,2004,No,$500,"282,131",," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007280756/2004-toyota-vitz-hatch?referringPage=SearchResults
Mazda,Atenza,2013,No,$650,"113,017",," Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007280783/2013-mazda-atenza-station-wagon?referringPage=SearchResults
BMW,120i,2008,No,$650,,," Left Rear Damage, Left Side Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270789/2008-bmw-120i-hatch?referringPage=SearchResults
Subaru,Impreza,2008,No,"$1,400",,," Left Rear Damage, Rear Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270803/2008-subaru-impreza-hatch?referringPage=SearchResults
Holden,Commodore,2008,Yes,$500,"324,791",," Left Side Damage, Right Side Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007280810/2008-holden-commodore-berlina-v6-sedan-at-sedan?referringPage=SearchResults
Suzuki,500,2002,No,$0,"43,933",," Front Damage, Frame Damaged, Structural Damage, Selling De-Registered","Automatic,",,,https://manheim.co.nz/damaged-vehicles/000000000007270879/2002-suzuki-500-quad-bike?referringPage=SearchResults
Subaru,Impreza,2012,No,$700,"155,696",," Right Side Damage, Structural Damage, Selling De-Registered",,5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007281062/2012-subaru-impreza-hatch?referringPage=SearchResults
Volkswagen,Polo,2014,No,$750,"70,992",," Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007281064/2014-volkswagen-polo-hatch?referringPage=SearchResults
Toyota,Voxy,2008,No,$500,,," Structural Damage, Selling De-Registered",,8.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007281085/2008-toyota-voxy-station-wagon?referringPage=SearchResults
Toyota,Hilux,1996,No,"$2,250","322,015",, Selling De-Registered,"Automatic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007281093/1996-toyota-hilux-surf-station-wagon?referringPage=SearchResults
Audi,TT,2015,No,,"154,999",," Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",4.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007281095/2015-audi-tt-tt-coupe-2-0-tfsi-2-coup%C3%A9?referringPage=SearchResults
Honda,Insight,2011,No,$600,,," Front Damage, Left Front Damage, Left Rear Damage, Rear Damage, Right Rear Damage, Structural Damage, Selling De-Registered",,5.0,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007281133/2011-honda-insight-hatch?referringPage=SearchResults
Toyota,Aqua,2017,No,"$1,450","222,794",," Left Side Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007281150/2017-toyota-aqua-hatch?referringPage=SearchResults
Mercedes-Benz,R350,2006,No,$500,"99,000",," Dismantled - Entire Vehicle, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007271227/2006-mercedes-benz-r350-station-wagon?referringPage=SearchResults
Audi,A4,2008,No,$500,"138,814",," Left Front Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007281306/2008-audi-a4-2-0-sedan?referringPage=SearchResults
Nissan,Primera,2003,No,$400,"215,494",," Stolen & Recovered, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007281311/2003-nissan-primera-station-wagon?referringPage=SearchResults
Harley-Davidson,Vrscf,2013,Yes,$0,"11,830",, Selling Registered,"6spd Manual,",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007281313/2013-harley-davidson-vrscf-muscle-v-rod-motorcycle?referringPage=SearchResults
Mercedes-Benz,C,2005,Yes,$500,,," Left Side Damage, Selling Registered","Automatic,",4.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007271468/2005-mercedes-benz-c-1-8p5spa2drcoupe-cabriolet?referringPage=SearchResults
Subaru,Exiga,2012,Yes,"$1,850","164,753",, Selling Registered,"Automatic,",7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007271469/2012-subaru-exiga-station-wagon?referringPage=SearchResults
Mazda,Demio,2004,No,$650,"246,809",," Ignition Damage, Left Rear Damage, Vandalised - Interior, Stolen & Recovered, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007271471/2004-mazda-demio-1300-hatch?referringPage=SearchResults
Mazda,Axela,2005,No,$600,"192,914",," Front Damage, Roof Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007281480/2005-mazda-axela-hatch?referringPage=SearchResults
Toyota,Hiace,2021,No,,,," Front Damage, Left Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",10.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007261529/2021-toyota-hiace-wagon-4d-4wd-van?referringPage=SearchResults
Mazda,Familia,2002,Yes,$600,,," Glass Broken, Ignition Damage, Right Rear Damage, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007271550/2002-mazda-familia-sport-20-station-wagon?referringPage=SearchResults
Subaru,Impreza,2009,No,$500,"194,726",," Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007281557/2009-subaru-impreza-hatch?referringPage=SearchResults
