Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Toyota,Aqua,2013,No,$0,"121,380",," Left Rear Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007430080/2013-toyota-aqua-hatch?referringPage=SearchResults
Suzuki,Swift,2020,No,$0,N/A,," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430096/2020-suzuki-swift-glc-1-2p-cvt-hatch?referringPage=SearchResults
Volkswagen,Golf,2013,No,$0,N/A,," Right Rear Damage, Structural Damage, Suspension Damage, Selling De-Registered",N/A,N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440262/2013-volkswagen-golf-hatch?referringPage=SearchResults
Suzuki,UK,2018,Yes,$0,"13,975",," Left Side Damage, Selling Registered","Automatic,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440312/2018-suzuki-uk-110ne-address-scooter?referringPage=SearchResults
Vespa,Primavera,2018,No,$0,"8,400",, Selling De-Registered,"Automatic,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430526/2018-vespa-primavera-150-iget-scooter?referringPage=SearchResults
Honda,Jazz,2006,Yes,$0,"160,866",," Right Side Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440587/2006-honda-jazz-hatch?referringPage=SearchResults
Kawasaki,VN,2021,No,$0,"1,732",," Structural Damage, Selling De-Registered",N/A,N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440638/2021-kawasaki-vn-900c-motorcycle?referringPage=SearchResults
TRAYLA,Tandem,2018,No,$600,N/A,0," Front Damage, Rolled, Structural Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007440664/2018-trayla-tandem-trailer?referringPage=SearchResults
Honda,CBR,2021,No,"$1,000",1,," Front Fork Damaged, Structural Damage, Selling De-Registered","Automatic,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007390754/2021-honda-cbr-650-p-motorcycle?referringPage=SearchResults
Toyota,Passo,2008,No,$0,N/A,," Left Rear Damage, Rear Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440849/2008-toyota-passo-hatch?referringPage=SearchResults
Ford,Falcon,2009,No,$0,"64,563",, Selling De-Registered,"Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440879/2009-ford-falcon-fg-xr6-sedan-a-sedan?referringPage=SearchResults
Nissan,Tiida,2004,Yes,$0,"151,559",," Ignition Damage, Left Rear Damage, Rear Damage, Right Rear Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440938/2004-nissan-tiida-sedan?referringPage=SearchResults
Toyota,Camry,2013,No,$0,N/A,," Left Side Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420974/2013-toyota-camry-gl-2-5p-sdn-6a-sedan?referringPage=SearchResults
BMW,325i,2009,No,$0,"151,508",," Right Side Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007441041/2009-bmw-325i-sedan?referringPage=SearchResults
Mazda,Bongo,2013,No,$0,"230,414",," Structural Damage, Stolen & Recovered, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007441099/2013-mazda-bongo-van?referringPage=SearchResults
Toyota,Aqua,2013,No,$0,"55,105",," Left Front Damage, Right Front Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007441148/2013-toyota-aqua-hatch?referringPage=SearchResults
Toyota,Corolla,2006,Yes,$0,"137,325",," Glass Broken, Ignition Damage, Left Rear Damage, Stolen & Recovered, Selling Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007441204/2006-toyota-corolla-1-8p-gl-hatch5-4a-hatch?referringPage=SearchResults
Toyota,Vitz,2007,Yes,$0,"127,386",," Ignition Damage, Dismantled - Interior, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007441232/2007-toyota-vitz-rs-hatch?referringPage=SearchResults
Suzuki,Swift,2014,No,$0,N/A,," Right Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007371309/2014-suzuki-swift-hatch?referringPage=SearchResults
Yamaha,MT03LA,2019,No,$200,1,," Structural Damage, Selling De-Registered",N/A,N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007401316/2019-yamaha-mt03la-k-motorcycle?referringPage=SearchResults
Mercedes-Benz,A180,2013,No,$0,"131,429",," Front Damage, Glass Broken, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007441439/2013-mercedes-benz-a180-hatch?referringPage=SearchResults
Toyota,Corolla,2015,No,$0,N/A,," Left Side Damage, Structural Damage, Selling De-Registered",N/A,5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007431457/2015-toyota-corolla-fielder-hybrid-station-wagon?referringPage=SearchResults
Kawasaki,KLX,2018,No,$0,N/A,," Interior Damage, Ignition Damage, Tank Damage, Structural Damage, Selling De-Registered",N/A,N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007421512/2018-kawasaki-klx-250s-motorcycle?referringPage=SearchResults
Mazda,MAZDA6,2013,Yes,$0,"272,901",," Front Damage, Rear Damage, Right Front Damage, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007441555/2013-mazda-mazda6-sdn-gsx-2-5-6at-ptr-sedan?referringPage=SearchResults
Nissan,Serena,2012,No,$0,"127,082",," Front Damage, Left Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",8,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007441572/2012-nissan-serena-station-wagon?referringPage=SearchResults
Subaru,XV,2016,No,$0,N/A,," Front Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007431587/2016-subaru-xv-hatch?referringPage=SearchResults
Nissan,Wingroad,2006,No,$0,"179,102",," Left Front Damage, Left Side Damage, Structural Damage, Suspension Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007431619/2006-nissan-wingroad-station-wagon?referringPage=SearchResults
Toyota,Aqua,2013,No,$0,N/A,," Front Damage, Glass Broken, Left Front Damage, Structural Damage, Suspension Damage, Selling De-Registered","CVT,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007441617/2013-toyota-aqua-hybrid-hatch?referringPage=SearchResults
Toyota,Prius,2016,No,N/A,N/A,," Chassis Damage, Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007441819/2016-toyota-prius-hatch?referringPage=SearchResults
Ford,Ranger,2017,No,N/A,"408,916",," Front Damage, Left Front Damage, Left Rear Damage, Rear Damage, Right Front Damage, Structural Damage, Selling De-Registered","6spd Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007441853/2017-ford-ranger-xlt-double-cab-w-sa-dual-cab-utility?referringPage=SearchResults
Mazda,Axela,2005,No,$0,"222,336",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007441888/2005-mazda-axela-sedan?referringPage=SearchResults
Nissan,Maxima,2000,No,$0,"278,011",," Front Damage, Left Side Damage, Right Front Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007441944/2000-nissan-maxima-sedan?referringPage=SearchResults
Mazda,626,1996,Yes,$0,"322,344",," Glass Broken, Ignition Damage, Left Front Damage, Left Rear Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007422018/1996-mazda-626-sedan-glx-2-0-m5-sedan?referringPage=SearchResults
Mazda,Demio,2006,Yes,$0,"111,576",," Glass Broken, Left Rear Damage, Right Side Damage, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007442125/2006-mazda-demio-hatch?referringPage=SearchResults
Toyota,Aqua,2012,No,$0,N/A,," Stolen & Recovered, Suspension Damage, Selling De-Registered",N/A,5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007442227/2012-toyota-aqua-hybrid-hatch?referringPage=SearchResults
Ford,Mondeo,2002,No,$0,N/A,," Left Front Damage, Left Rear Damage, Right Front Damage, Right Rear Damage, Dismantled - Interior, Selling De-Registered","5spd Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007442234/2002-ford-mondeo-2-0-sedan-man-sedan?referringPage=SearchResults
Honda,Crossroad,2007,No,$0,N/A,," Right Front Damage, Right Side Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007442281/2007-honda-crossroad-station-wagon?referringPage=SearchResults
Subaru,Impreza,2002,Yes,$0,N/A,," Ignition Damage, Left Front Damage, Right Front Damage, Right Side Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007442341/2002-subaru-impreza-station-wagon?referringPage=SearchResults
Toyota,Wish,2009,No,$0,"173,389",," Front Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007442364/2009-toyota-wish-station-wagon?referringPage=SearchResults
